head/coords/0,head/coords/1,lankle/coords/0,lankle/coords/1,lelbow/coords/0,lelbow/coords/1,lhip/coords/0,lhip/coords/1,lknee/coords/0,lknee/coords/1,lshoulder/coords/0,lshoulder/coords/1,lwrist/coords/0,lwrist/coords/1,pelvis/coords/0,pelvis/coords/1,rankle/coords/0,rankle/coords/1,relbow/coords/0,relbow/coords/1,rhip/coords/0,rhip/coords/1,rknee/coords/0,rknee/coords/1,rshoulder/coords/0,rshoulder/coords/1,rwrist/coords/0,rwrist/coords/1,thorax/coords/0,thorax/coords/1,upperneck/coords/0,upperneck/coords/1
278.4694099,34.87781504,317.800007,415.1020909,384.4388582,117.0589446,314.2566298,241.0152051,323.4122086,335.7217216,314.3826867,116.7425536,449.570656,103.2412339,301.3020134,239.4446182,275.7515142,434.0622995,265.0132563,127.3839571,291.6623309,251.0993574,285.4850579,339.2520333,268.386631,122.5238803,291.6316986,109.0858842,286.1086464,115.7552717,292.4437907,96.8322752
278.5246656,34.74056256,317.8220941,415.1374438,384.4082643,117.4930573,314.1428563,241.039257,323.4510042,335.5899622,314.3192294,117.3163226,449.5145037,103.7996294,301.3993453,239.4637683,275.722256,433.9521792,263.410816,127.10968,291.6744038,251.1777306,285.4082298,339.224224,268.4523008,122.346039,286.6678048,109.2504883,286.8124768,116.1257171,292.4260518,97.22198464
278.4788134,34.69013184,317.8217696,415.1633741,384.3338778,117.9913331,314.0094758,240.990505,323.5050202,335.3997613,314.3099405,117.8754426,449.2471693,104.5488736,301.4785766,239.4293978,275.6958963,433.8444134,261.2601664,126.6967008,291.6889382,251.2579917,285.3344346,339.2572595,268.5273741,122.1138381,280.2180864,109.3024064,287.5172998,116.5231322,292.3727987,97.66181952
278.3347891,34.76638784,317.7928352,415.1795482,384.202576,118.5323334,313.8838003,240.8542253,323.5741043,335.1594925,314.3719482,118.3579251,448.7313459,105.4757312,301.521168,239.3246458,275.6744384,433.7477306,258.5770605,126.1701203,291.6805267,251.3215827,285.2731898,339.3663027,268.5957907,121.8409728,272.4278259,109.2530822,288.144665,116.909065,292.282505,98.11210624
278.1147955,34.99408704,317.7330208,415.1892947,384.0013888,119.0970227,313.8000294,240.6274989,323.6580659,334.8855974,314.5183757,118.7102125,447.9523469,106.5527725,301.511936,239.1400909,275.6578829,433.669577,255.4278374,125.5799866,291.6184045,251.3489152,285.2339744,339.5585632,268.6439514,121.5478515,263.5651776,109.1549299,288.625927,117.2433856,292.1625709,98.5285568
277.8552243,35.37368768,317.6446912,415.199337,383.7174605,119.673424,313.7928198,240.3211974,323.7574003,334.6003341,314.7571942,118.8971712,446.9189453,107.7434918,301.4430048,238.8768768,275.6436346,433.6155034,251.9261363,124.9965286,291.4736941,251.3239859,285.2251622,339.8309709,268.6660192,121.2580109,253.9848134,109.1005325,288.9167974,117.4911501,292.0305062,98.8701248
277.5975802,35.87596864,317.5344467,415.2182291,383.3386611,120.258217,313.8897702,239.9591443,323.8733293,334.3282701,315.0901222,118.9071654,445.6587219,109.0087507,301.3166618,238.5476301,275.6267168,433.5888864,248.2216454,124.501152,291.227913,251.2385939,285.2531814,340.1698496,268.6655616,120.992279,244.0798566,109.2116166,289.0055654,117.6285933,291.9126893,99.10545344
277.3783302,36.44321472,317.4114989,415.2542112,382.855072,120.8545683,314.1051866,239.5742797,324.0070342,334.0924454,315.5111885,118.7511827,444.2094803,110.3112032,301.1459731,238.174553,275.6010438,433.5905459,244.4807814,124.175072,290.8792307,251.0946848,285.3220365,340.5519296,268.652649,120.7632826,234.2319296,109.6181869,288.9133069,117.6464845,291.8404768,99.21676608
277.220535,36.99760448,317.2860339,415.3130342,382.2613146,121.4676282,314.4372365,239.202919,324.1583251,333.9109613,316.0051347,118.4566496,442.6094054,111.6179654,300.952873,237.7851104,275.5615616,433.6182784,240.8623315,124.086151,290.4449274,250.9041786,285.4333306,340.9472845,268.6379245,120.5704115,224.768791,110.4325101,288.6864474,117.5498963,291.8450163,99.19982912
277.1296883,37.4551392,317.1679878,415.396471,381.5588378,122.0994566,314.8686982,238.8782502,324.3244173,333.7944224,316.5467072,118.0590438,440.8889005,112.901497,300.7643699,237.4067686,275.5065344,433.6664774,237.4931142,124.2767334,289.9590682,250.6863974,285.5862048,341.3232806,268.6267661,120.3977587,215.9360122,111.7245485,288.3849907,117.3554995,291.9515802,99.06181312
277.0947072,37.74223296,317.0663834,415.501833,380.756912,122.7455136,315.3705216,238.6239622,324.498825,333.7446022,317.1012307,117.5944902,439.0646362,114.1395949,300.607929,237.0620346,275.4386522,433.7265395,234.4493485,124.755287,289.4664954,250.464096,285.776825,341.648903,268.6159706,120.2157971,207.8857613,113.5054778,288.0694387,117.0871738,292.174473,98.81862656
